tconst;type;primary;isadult;startyear;endyear;runtimemin;averagerating;numvotes;seasonnr;episodenr;parent;budget;gross_domestic;gross_worldwide;opening_weekend;certificate;origin;filming_country;aspect_ratio
tt0050468;movie;;False;1957;;122;7.2;15988;0;0;;2000000;0;0;0;;United States; USA;1.85:1;
tt0064451;movie;;False;1971;;200;7.5;6466;0;0;;;0;0;0;;Taiwan; Taiwan;2.35:1;
tt1327035;movie;;False;2009;;144;7.9;30879;0;0;;60000000;18613;4047969;10950;;India; India;2.35:1;
tt0117040;movie;;False;1996;;80;7.9;11259;0;0;;5000000;1433210;1433210;35189;;France; France;1.66:1;
tt0098282;movie;;False;1989;;103;6.8;54910;0;0;;18000000;46908987;46908987;7098741;;United States; USA;1.85:1;
tt0038455;movie;;False;1946;;85;7.1;5125;0;0;;;0;0;0;;United States; USA;1.37:1;
tt11651796;movie;;False;2020;;108;6.9;14422;0;0;;;0;0;0;;India;;;
tt0051383;movie;;False;1958;;143;7.9;11560;0;0;;2240000;0;0;0;;United States; USA;2.35:1;
tt3626476;movie;;False;2021;;103;6.3;22471;0;0;;;0;0;0;;United States;Puerto Rico;2.00:1;
tt3289728;movie;;False;2015;;101;6;30921;0;0;;16000000;33258;2084628;9206;;United States;Singapore;1.85:1;
tt1233301;movie;;False;2011;;121;6.1;42364;0;0;;25000000;0;5151023;0;;United Kingdom; UK;2.35:1;
tt1413492;movie;;False;2018;;130;6.5;82219;0;0;;35000000;45819713;67450815;15815025;;United States; USA;2.39:1;
tt9354842;movie;;False;2020;;101;6;39346;0;0;;;0;0;0;;United States; Canada;2.39:1;
tt0099699;movie;;False;1990;;107;6.3;24682;0;0;;12500000;29888235;29888235;47781;;France; USA;1.85:1;
tt0374569;movie;;False;2008;;135;6.8;33925;0;0;;40000000;748555;8638163;61070;;Spain; Spain;1.85:1;
tt0887261;movie;;False;2022;;121;6;24945;0;0;;;0;0;0;;United States; Serbia;2.39:1;
tt2364975;movie;;False;2013;;102;7.1;10748;0;0;;;180590;1604273;17664;;Sweden; Sweden;1.85:1;
tt0173840;movie;;False;2001;;106;6.4;82376;0;0;;137000000;32131830;85131830;11408853;;United States;;1.85:1;
tt1566501;movie;;False;2012;;145;6.5;5008;0;0;;12000000;5672846;10173682;1885608;;Mexico; Mexico;2.35:1;
tt0152836;movie;;False;;;179;6.6;5533;0;0;;;2020532;2020532;591289;;India; Canada;;
tt7533152;movie;;False;2019;;113;7.6;38550;0;0;;;0;0;0;;United Kingdom;Malawi;2.35:1;
tt3421514;movie;;False;2014;;107;6;8732;0;0;;;0;53425036;0;;France;;2.35:1;
tt0106701;movie;;False;1993;;94;5.6;61661;0;0;;;51270765;117270765;9331139;;United States; USA;1.85:1;
tt0108071;movie;;False;1993;;101;7.3;41817;0;0;;18000000;31181347;31181347;4625583;;United States; UK;1.85:1;
tt0360130;movie;;False;2004;;108;6.5;9031;0;0;;;143597;156767;24354;;United States; USA;1.85:1;
tt2452150;movie;;False;2021;;145;6.6;14825;0;0;;55000000;24278399;32882823;8807513;;United States; USA;2.39:1;
tt0109015;movie;;False;1994;;93;4.5;9422;0;0;;20000000;11798854;11798854;3556310;;United States; Japan;1.85:1;
tt0075276;movie;;False;1977;;115;7.8;14365;0;0;;;0;2874;0;;West Germany; USA;1.66:1;
tt0090967;movie;;False;1986;;107;7.7;51936;0;0;;1100000;1435668;1529199;0;;United States; USA;1.85:1;
tt3107166;movie;;False;2018;;86;6.8;10757;0;0;;;0;0;0;;United States; USA;2.35:1;
tt0081283;movie;;False;1980;;124;7.7;52566;0;0;;6000000;54766923;54766923;170335;;United States; USA;1.85:1;
tt1628841;movie;;False;2016;;120;5.2;180088;0;0;;165000000;103144286;389681935;41039944;;United States; USA;2.39:1;
tt8936646;movie;;False;2020;;116;6.7;201777;0;0;;65000000;0;0;0;;United States; India;2.39:1;
tt0075222;movie;;False;1976;;87;6.7;17465;0;0;;4400000;36145695;36145695;0;;United States; USA;1.85:1;
tt1800302;movie;;False;2016;;120;6.7;64580;0;0;;20000000;7227038;14880939;3471316;;United States;Indonesia;2.39:1;
tt1823664;movie;;False;2014;;118;5.3;38180;0;0;;65000000;85911262;136853506;15861939;;United States; USA;2.39:1;
tt2674426;movie;;False;2016;;106;7.4;252282;0;0;;20000000;56245075;208314186;18723269;;United Kingdom; UK;2.35:1;
tt0201485;movie;;False;2001;;109;5.3;9085;0;0;;30000000;36849;280777;19988;;United States; Israel;2.35:1;
tt5083738;movie;;False;2018;;119;7.5;200017;0;0;;15000000;34366783;95918706;422410;;Ireland; UK;1.85:1;
tt0257076;movie;;False;2003;;117;6;148162;0;0;;80000000;116934650;207725639;37062535;;United States; USA;2.39:1;
tt0084335;movie;;False;1982;;122;7.7;21708;0;0;;9500000;14000000;14000000;0;;United States; Mexico;1.85:1;
tt0134033;movie;;False;1999;;99;6.3;10099;0;0;;;474900;474900;244765;;United Kingdom; Czech Republic;2.39:1;
tt5097410;movie;;False;2019;;100;6.3;21549;0;0;;;0;0;0;;United States; USA;2.39:1;
tt4375438;movie;;False;2015;;98;7.2;11239;0;0;;;52761;541515;6514;;Chile; Chile;2.35:1;
tt0800956;movie;;False;2007;;132;7.4;12161;0;0;;;150212;6316418;62477;;India;;2.39:1;
tt1170358;movie;;False;2013;;161;7.8;660998;0;0;;225000000;258387334;959027992;73645197;;New Zealand; New Zealand;2.35:1;
