count,avg,genre
348114,7.171443837479433,Action
263421,6.502863795110618,Adult
350425,7.206698751192729,Adventure
465152,7.166209997672774,Animation
95967,7.336059907834082,Biography
1809157,7.130253455803836,Comedy
357544,7.3368947297113145,Crime
833774,7.330977078491458,Documentary
2501060,7.221234627919263,Drama
671495,7.183896121059929,Family
185996,7.193768112735962,Fantasy
1,,Film-Noir
335711,7.0225723866873055,Game-Show
133571,7.454323944561502,History
154616,6.26573605787769,Horror
358738,7.1112458357093455,Music
75869,6.909627129540327,Musical
172707,7.270623439495282,Mystery
817844,6.680150214592268,News
513356,6.947122296399462,Reality-TV
817688,7.078440316553188,Romance
97868,6.908248378127904,Sci-Fi
952790,6.990385417535648,Short
218311,7.131061511255596,Sport
1112757,6.838367395437308,Talk-Show
142878,6.58168493626313,Thriller
26299,7.3574192809709205,War
20576,7.501170825335863,Western
