"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt14761346","tvPilot","Testing Title 14","Testing Title 14",0,2021,NULL,NULL,NULL
"tt15258334","tvPilot","TV Pilot","TV Pilot",0,1991,NULL,NULL,NULL
