averagerating,count
3.5,1
3.7,1
4.4,1
4.6,1
4.9,1
5.2,1
5.3,1
5.5,1
5.7,2
5.9,1
6,2
6.1,3
6.2,2
6.3,3
6.4,4
6.6,2
6.7,3
6.8,2
6.9,4
7,3
7.1,3
7.2,2
7.3,5
7.4,7
7.5,7
7.6,2
7.7,4
7.8,5
7.9,4
8,7
8.1,1
8.2,5
8.3,1
8.4,1
8.5,2
8.6,1
8.7,2
8.8,1
9.3,1
