tt9430698		1298528	81574810	357740		Japan		1.85:1
tt9426210	11100000	8056636	193331144	1808533		Japan		1.78:1
tt9421570						United States	 USA	2.39:1
tt9420648			1447766			India		2.39:1
tt9420618						India	 Thailand	
tt9419976						South Africa		2.35:1
tt9419884	200000000	411331607	955775804	187420998		United States	Norway	
tt9419834						United States	 USA	2.39:1
tt9419056		15532137	30832137	3153456		United States	 USA	2.39:1
tt9412098						United States		1.78:1
tt9411972	24000000	90230760	140230760	17253227		United States	 USA	2.39:1
tt9398640						United States	 USA	2.00:1
tt9398466						India	 India	
tt9389998		1320000	7592374	1320000		India	 India	
tt9387250			170581			United Kingdom	Lithuania	2.39:1
tt9381622						United States		
tt9376612	200000000	224543292	432243292	75388688		United States	 Australia	
tt9373688		29183	39906	13045		United Kingdom	South Africa	2.39:1
tt9359220						United Kingdom	 Lithuania	
tt9358052						United States	 USA	1.85:1
tt9358044		424284	467361	26496		United States	 USA	1.85:1
tt9357050	28000000	15002646	19123994	7443830		United States	 USA	2.39:1
tt9356952		36856	36856	26630		United States	 USA	2.00:1
tt9354944	5000000	6546159	9341824	3106730		United States	 USA	2.35:1
tt9354842						United States	 Canada	2.39:1
tt9351980						United States	 USA	1.78:1
tt9348692						United Kingdom		
tt9347730	22000000	61186570	77411570	22001750		Canada	 USA	2.39:1
tt9345754			1845			Spain	 Spain	
tt9340860		9358025	10835686	4000470		United States	 Canada	2.39:1
tt9340526						United States	 USA	
tt9337588						India	India	
tt9335498						Japan		1.78:1
tt9327706						France		
tt9324742						United States	 USA	
tt9319826	4000000					India	 UK	
tt9318280						United States	 USA	1.85:1
tt9315054						United States	 Canada	
tt9310390						United Kingdom		2.00:1
tt9310330						Japan		
tt9310328						Japan		
tt9308382			2217874			United Kingdom	 USA	2.39:1
tt9307990						United States	 USA	
tt9307686						Japan		
tt9304350						Japan		
tt9288848						United States		2.00:1
tt9288692		575783	991898	250811		United States	 USA	2.39:1
tt9288046						United States		1.85:1
tt9288030						United States	 Canada	2.00:1
tt9285882	1300000		5881391			United Kingdom	 UK	
tt9271162						India	 India	
tt9264728			21676			United States	 USA	1.85:1
tt9263550	600000000		398615			India	Serbia	2.39:1
tt9261218						United States	 USA	2.35:1
tt9260636			2441136			India		2.39:1
tt9257484						United States	 USA	2.35:1
tt9257258						United States	 USA	
tt9253284						United States	 UK	2.39:1
tt9252508	13600000					United States	 USA	2.35:1
tt9252488		207928	615233	88306		United States	 USA	2.39:1
tt9252468						United States	 Morocco	1.85:1
tt9252156						Canada	 Canada	
tt9251798						Denmark	 Norway	
tt9248972		3659413	5667057	1365006		India		2.35:1
tt9248952			4495290			India	 UK	
tt9248940			1638032			India		
tt9244554			365644			United States	 USA	2.39:1
tt8254348						India		2.35:1
tt9243946	6000000					United States	 USA	2.39:1
tt9243804		17173321	18887953	6790917		United States	 Ireland	1.85:1
tt9239888						Italy	 Italy	2.35:1
tt9231040		101068	1386609	81323		United States	 USA	1.37:1
tt9214832	10000000	10055355	26404660	234482		United Kingdom	 UK	1.85:1
tt9208444	3000000	10691091	10691091	2607049		United States		1.85:1
tt9207700		101339	2915266	33998		United Kingdom	 Italy	1.85:1
tt9204204		23862	208821	10626		Austria	 Austria	1.85:1
tt9203694	10000000					United Kingdom	 Germany	2.35:1
tt9198364	60000000	8286741	19896616	2919717		Australia	Turkey	2.39:1
tt9196192			692459			France	 France	2.35:1
tt9185066		6596	6596	4331		United States	 USA	
tt9184994						Germany		2.00:1
tt9184986						Germany	 Hungary	
tt9184982						Germany	Croatia	
tt9184820						United States		
tt9179616						United Kingdom	 Austria	1.78:1
tt9179552						United States	 USA	2.00:1
tt9179430	1500000000	1770000	29837637	1770000		India	 India	2.35:1
tt9179096			850909			United Kingdom	 Serbia	1.85:1
tt9177882						United States		1.78:1
tt9177040			48953			United States	 USA	2.39:1
tt9176296						India		
tt9174582						United Kingdom	 United Kingdom	
tt9174578						France	South Africa	
tt9173418	10000000	12611536	20311536	5823006		United States	 Canada	2.35:1
tt9172422			14384206			France	 France	2.35:1
tt9170638						France	 France	
tt9170516						Denmark	 Czech Republic	2.35:1
tt9170236						United States	 Australia	
tt9170108						United States	 South Africa	
tt9169658						United States	 USA	
tt9151230						Russia	 Russia	
tt9150970						Spain	 Spain	1.85:1
tt9148706			1928777			United Kingdom	 UK	2.39:1
tt9147456			239231			United States	 USA	2.35:1
tt9145880						South Korea		
tt9143112			974782			United Kingdom	 Canada	2.39:1
tt9140554						United States	 USA	2.39:1
tt9139586			128761			United States	 USA	2.39:1
tt9134216	29900000	44451847	69412425	12723781		United States	 Canada	1.85:1
tt9134194						United States	 USA	
tt9130542						South Korea		
tt9130508	40000000					United States	 Saudi Arabia	2.39:1
tt9124428			6214362			Turkey	 Turkey	2.39:1
tt9117054						United States	 Canada	
tt9115530		2404127	2676180	652358		United States	 USA	1.85:1
tt9113406						United States	 USA	
tt9110170		1251184	4829926	107897		United States	 USA	2.39:1
tt9109306		25183	95215			United States		2.39:1
tt9107368						United States		1.78:1
tt9100822						Iceland	 Iceland	
tt9100054			703281			United States	 Greece	1.66:1
tt9098938						India	 India	
tt9098872		1060556	1060556	65591		United Kingdom	Thailand	1.85:1
tt9096108						India		
tt9095260						India		
tt9094282						India		
tt9086228	5000000	15347654	22304357	6154007		United States	 Ireland	1.55:1
tt9077626						India		
tt9077562						United States		
tt9077540						United States	 USA	
tt9077530						United States	 Canada	
tt9076562			371962			United States	 USA	1.66:1
tt9074574	1420000		19855			Finland		2.39:1
tt9073958						United Kingdom	 Spain	
tt9073940						United States	 USA	
tt9072352		1047083	2902552	192352		Australia	 Australia	2.39:1
tt9071322		11136084	23108017	102606		United States	 USA	2.39:1
tt9064858						United States	 USA	2.39:1
tt9063902	1300000		368430			Spain	 Spain	
tt9059704			499649			United States	 USA	1.85:1
tt9059350						United States	 Spain	2.00:1
tt9058134						United States		
tt9056818			29319			United Kingdom	 UK	2.35:1
tt9055008						United States	 USA	
tt9054970	350000000		2171942			India		2.39:1
tt9054904						United States	 USA	2.35:1
tt9054364						Japan		2.35:1
tt9054192	7000000		1277031			United States	 USA	2.00:1
tt9052870		2004400	3311391	614335		India	 UK	2.35:1
tt9049042	35000000		2964640			Norway		2.39:1
tt9048786			6667823			Italy	 Latvia	2.39:1
tt9032400	200000000	164870234	402064899	71297219		United States	 Spain	
tt9031094						India		
tt9026184			145856			United States	 USA	1.78:1
tt9024106	6000000	19005109	21515607	6382298		United States	 USA	
tt9016974		636673	1483731	245561		United States	 USA	2.39:1
tt9013182						South Africa	 South Africa	2.39:1
tt9012876						United States	 Canada	2.00:1
tt9005184	4500000	185212	425909	118254		United States	 Finland	1.85:1
tt9002164						India		
tt9000388	150000					India	 India	
tt9000302						Indonesia	 Indonesia	2.39:1
tt9000224		1100313	1338881	79141		United States		2.00:1
tt9000184						United States	 USA	1.85:1
tt8999372			115568			United Kingdom		
tt8998472	1354218					United States	 USA	1.78:1
tt8995218			788597			Canada	 Canada	2.35:1
tt8993398						Japan		
tt8991268		815082	5321053	31381		North Macedonia	 North Macedonia	1.85:1
tt8984572						India		
tt8983228			88637			India		
tt8983220			53607			India		
tt8983202	8500000		2445252			India	India	1.85:1
tt8983166		582720	4886124	285689		India		
tt8983164						India	 India	
tt8980602		364138	367890	140218		Canada	 Canada	2.39:1
tt8976710	32000000					United States	 USA	1.85:1
tt8976576						United States	 USA	2.39:1
tt8972256		355308	1460431	24163		United Kingdom	 Greece	2.39:1
tt8969332		4366949	5248412	110492		United States	 USA	2.35:1
tt8963708		177262	621446	13880		Sweden	 Georgia	1.78:1
tt8962130						United States	 USA	
tt8962124						United States	 France	1.78:1
tt8961508						Spain	 Spain	2.00:1
tt8960382		1860000	15954804	1860000		India	 Italy	
tt8959820	100		1996655			India	 India	2.35:1
tt8956324			188173			United States		2.39:1
tt8954732						United States	 Romania	1.85:1
tt8951692			4890505			United Kingdom	 UK	2.35:1
tt8949056			305			United States		1.85:1
tt8948790			204669			India		
tt8946378	40000000	165363234	312897920	26769548		United States	 USA	1.85:1
tt8941440			626930			India		
tt8936646	65000000					United States	 India	2.39:1
tt8923854						Canada	 Canada	2.00:1
tt8923484						United States	 USA	1.78:1
tt8923482		270128	271841	20523		United States	 China	1.85:1
tt8923396						Jordan	 Jordan	
tt8914684						United Kingdom		
tt8914492			63183			India		
tt8912936	90000000	93657117	207357117	23003441		United States	 USA	2.39:1
tt8910924	1700000					United States	 USA	2.39:1
tt8910922						United States		
tt8908002		1042905	14256199	485342		India	 India	
tt8907992						India	 UK	2.35:1
tt8907986			1301330			India	 India	
tt8902990		652592	1088641	334713		India		
tt8893974						United States	 USA	1.37:1
tt8893550						United States	 USA	
tt8888462						United States	 Canada	2.20:1
tt8883524			36725			United States		
tt8880894						United States		2.00:1
tt8879940						United States	 USA	
tt8879894						France	 Czech Republic	
tt8878862						Brazil	 Brazil	1.85:1
tt8873996						United States	 USA	1.78:1
tt8869978		493180	13098981	212645		India		
tt8865546			1155281			Turkey	 Turkey	1.78:1
tt8858104						United States	 Cuba	1.33:1
tt8856470			27347118			Japan	 Japan	1.78:1
tt8851668						United States	 USA	1.78:1
tt8851148						United States	 USA	2.00:1
tt8850222		1231407	42698327	118647		South Korea	 South Korea	2.39:1
tt8847712	25000000	16124375	46333545	1348804		Germany	 France	1.85:1
tt8846176						United Kingdom	 USA	2.39:1
tt8836988	2000000		39153			United Kingdom	 UK	2.39:1
tt8829830		6306897	7031289	918112		United States	 USA	2.35:1
tt8826128						United States	 Canada	
tt8820590	10000000		37410850			Russia	Czech Republic	2.35:1
tt8816194		96713	117947	57998		Ireland	 Canada	2.35:1
tt8809646						India		
tt8806524						United States	 USA	2.39:1
tt8804580						United States	 USA	2.35:1
tt8800266		53437	371005	10422		Chile	 Chile	2.35:1
